,train_ind,train_acc,train_f1,train_fpr,train_fnr,train_fpr_all,train_fpr_mean,train_fpr_diff,train_fnr_all,train_fnr_mean,train_fnr_diff,test_ind,test_acc,test_f1,test_fpr,test_fnr,test_fpr_all,test_fpr_mean,test_fpr_diff,test_fnr_all,test_fnr_mean,test_fnr_diff
10,0.1190,0.9765,0.9757,0.0151,0.0324,"[0.03359173126614987, 0.05337078651685393, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12930856777864877,0.1242912545145685,"[0.1019202363367799, 0.10469314079422383, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.041666666666666664, 0.10810810810810811, 0.125], mean FNR",0.08418270283162199,0.06408854830834892,0.1308,0.9113,0.9071,0.0753,0.1031,"[0.08074534161490683, 0.15384615384615385, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.3034450435692672,0.22810257781584253,"[0.13333333333333333, 0.13089005235602094, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.1064024653357114,0.06781010531477996
11,0.1197,0.9782,0.9776,0.0151,0.0288,"[0.03359173126614987, 0.056179775280898875, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12977673257265626,0.124759419308576,"[0.09453471196454949, 0.09675090252707581, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.10810810810810811, 0.125], mean FNR",0.08122506583503301,0.06290553420439526,0.1283,0.9120,0.9080,0.0758,0.1010,"[0.08695652173913043, 0.15384615384615385, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.30433235501558487,0.22850065247155354,"[0.13333333333333333, 0.13089005235602094, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.1064024653357114,0.06833339155235191
12,0.1204,0.9795,0.9789,0.0153,0.0260,"[0.031007751937984496, 0.05337078651685393, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1288779045572879,0.12378992490920647,"[0.09453471196454949, 0.09097472924187726, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.10810810810810811, 0.125], mean FNR",0.0805030441743832,0.06362539364401165,0.1291,0.9133,0.9095,0.0758,0.0984,"[0.08695652173913043, 0.15384615384615385, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.30433235501558487,0.22850065247155354,"[0.13333333333333333, 0.12390924956369982, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10552986498667127,0.0681148990002767
13,0.1190,0.9801,0.9795,0.0159,0.0242,"[0.03359173126614987, 0.05337078651685393, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12930856777864877,0.12400858897856398,"[0.0930576070901034, 0.09025270758122744, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.10810810810810811, 0.125], mean FNR",0.08022815335749621,0.06423781427344231,0.1291,0.9135,0.9099,0.0768,0.0968,"[0.09316770186335403, 0.16083916083916083, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.3062186674609035,0.22940849133565885,"[0.13, 0.12390924956369982, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.1051131983200046,0.068090697011789
14,0.1180,0.9797,0.9792,0.0163,0.0244,"[0.03359173126614987, 0.05337078651685393, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12930856777864877,0.12386725621056172,"[0.0915805022156573, 0.09169675090252707, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.13513513513513514, 0.125], mean FNR",0.08360239904173128,0.06750114602688768,0.1258,0.9130,0.9093,0.0773,0.0973,"[0.08695652173913043, 0.15384615384615385, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.30433235501558487,0.22703294209973354,"[0.13, 0.12390924956369982, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.1051131983200046,0.06795987545239601
15,0.1180,0.9796,0.9791,0.0170,0.0240,"[0.03359173126614987, 0.05337078651685393, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12930856777864877,0.12365525705855833,"[0.09010339734121123, 0.09097472924187726, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.13513513513513514, 0.125], mean FNR",0.08332750822484429,0.06744808307158011,0.1275,0.9128,0.9091,0.0783,0.0968,"[0.08695652173913043, 0.16083916083916083, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3155354376472389,0.2372575511501743,"[0.12666666666666668, 0.12041884816753927, 0.125, 0.0, 0.0, 0.02564102564102564, 0.2857142857142857, 0.125], mean FNR",0.10105510327368966,0.07044285837573047
16,0.1197,0.9796,0.9791,0.0174,0.0235,"[0.03359173126614987, 0.05337078651685393, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12930856777864877,0.12351392429055606,"[0.08714918759231906, 0.0888086642599278, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.13513513513513514, 0.125], mean FNR",0.08268747388348908,0.06702987659180432,0.1275,0.9133,0.9098,0.0793,0.0947,"[0.09316770186335403, 0.16783216783216784, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3174217500925575,0.23816539001427967,"[0.12666666666666668, 0.12041884816753927, 0.125, 0.0, 0.0, 0.02564102564102564, 0.2857142857142857, 0.125], mean FNR",0.10105510327368966,0.07096614461330242
17,0.1187,0.9796,0.9791,0.0178,0.0231,"[0.03875968992248062, 0.05898876404494382, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13110622380938555,0.12517024755329056,"[0.0827178729689808, 0.08592057761732852, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.13513513513513514, 0.125], mean FNR",0.08177254872524689,0.06633677929514153,0.1275,0.9135,0.9103,0.0812,0.0921,"[0.09937888198757763, 0.17482517482517482, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3193080625378762,0.23844141450880155,"[0.12666666666666668, 0.11867364746945899, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09763182498130142,0.07460723052813553
18,0.1245,0.9793,0.9788,0.0191,0.0224,"[0.041343669250646, 0.06460674157303371, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13247321661876144,0.12611324205865967,"[0.06942392909896603, 0.07870036101083032, 0.14705882352941177, 0.013157894736842105, 0.0024449877750611247, 0.025, 0.08108108108108109, 0.125], mean FNR",0.06773338465402405,0.05263035701628782,0.1357,0.9140,0.9112,0.0846,0.0874,"[0.12422360248447205, 0.20279720279720279, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3268533123191508,0.2435404803370429,"[0.11333333333333333, 0.1099476439790576, 0.0625, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.08706190787833458,0.07143690787833458
19,0.1187,0.9797,0.9792,0.0176,0.0231,"[0.03359173126614987, 0.056179775280898875, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12977673257265626,0.12391142270056242,"[0.08567208271787297, 0.08664259927797834, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.13513513513513514, 0.125], mean FNR",0.08223207765143964,0.06679630822133428,0.1283,0.9140,0.9107,0.0797,0.0926,"[0.09937888198757763, 0.17482517482517482, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3193080625378762,0.23956246566899167,"[0.12666666666666668, 0.11867364746945899, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09763182498130142,0.07447640896874255
